Agency,Complaint_Type,Location_Type,Incident_Zip,Borough,Vehicle_Type,duration_[days],Created_Date_hour,Created_Date_month,Created_Date_dayofweek,Descriptor_encoded,Weisse,Afroamerikaner,Asiaten,Hispanics
8,13,20,14,2,5,0.02,12,10,1,50,0.544,0.174,0.094,0.272
8,10,16,156,1,5,0.07,21,11,4,27,0.412,0.364,0.075,0.198
8,0,20,205,3,0,0.01,22,10,0,49,0.441,0.2,0.176,0.25
7,15,15,105,0,5,5.83,1,6,2,2,0.299,0.356,0.03,0.484
8,12,20,175,1,5,0.0,22,10,2,12,0.412,0.364,0.075,0.198
3,13,7,210,3,5,0.0,18,2,3,50,0.441,0.2,0.176,0.25
7,5,15,120,0,5,2.0,8,10,1,20,0.299,0.356,0.03,0.484
8,6,20,163,1,0,0.06,15,6,0,18,0.412,0.364,0.075,0.198
7,18,15,184,3,5,0.16,13,2,0,33,0.441,0.2,0.176,0.25
3,13,0,208,3,5,0.0,15,10,2,50,0.441,0.2,0.176,0.25
4,13,11,24,2,5,0.0,8,6,2,43,0.544,0.174,0.094,0.272
4,16,19,158,1,5,1.07,10,6,2,50,0.412,0.364,0.075,0.198
8,10,16,157,1,5,0.0,0,5,2,27,0.412,0.364,0.075,0.198
7,15,15,176,1,5,6.155,4,3,4,2,0.412,0.364,0.075,0.198
8,6,20,112,0,5,0.27,13,8,3,4,0.299,0.356,0.03,0.484
8,10,16,166,1,5,0.02,22,7,5,3,0.412,0.364,0.075,0.198
8,10,16,217,3,5,0.35,22,6,6,27,0.441,0.2,0.176,0.25
8,9,18,140,3,5,0.11,23,8,3,27,0.441,0.2,0.176,0.25
8,6,20,138,3,5,0.02,8,4,5,6,0.441,0.2,0.176,0.25
8,10,16,119,0,5,0.3,8,7,4,27,0.299,0.356,0.03,0.484
4,13,11,26,2,5,1.12,18,1,2,43,0.544,0.174,0.094,0.272
8,11,20,30,2,5,0.02,21,10,5,27,0.544,0.174,0.094,0.272
7,5,15,113,0,5,1.58,20,2,2,20,0.299,0.356,0.03,0.484
4,17,11,9,2,5,0.91,11,6,0,50,0.544,0.174,0.094,0.272
2,13,11,22,2,5,6.155,13,10,3,50,0.544,0.174,0.094,0.272
4,13,11,110,0,5,0.0,9,2,2,43,0.299,0.356,0.03,0.484
8,9,18,122,0,5,0.08,0,8,5,12,0.299,0.356,0.03,0.484
8,10,16,151,1,5,0.18,21,5,4,28,0.412,0.364,0.075,0.198
8,0,20,220,3,5,0.13,17,9,4,49,0.441,0.2,0.176,0.25
0,8,11,136,3,5,1.13,20,4,0,31,0.441,0.2,0.176,0.25
7,2,15,152,1,5,6.03,8,10,2,48,0.412,0.364,0.075,0.198
7,5,15,113,0,5,2.03,6,11,2,20,0.299,0.356,0.03,0.484
8,6,20,176,1,5,0.06,23,2,3,6,0.412,0.364,0.075,0.198
8,10,16,205,3,5,0.05,2,6,6,27,0.441,0.2,0.176,0.25
8,10,16,143,1,5,0.01,17,5,6,27,0.412,0.364,0.075,0.198
8,10,16,175,1,5,0.04,22,11,0,27,0.412,0.364,0.075,0.198
8,10,16,202,3,5,0.02,21,11,1,3,0.441,0.2,0.176,0.25
4,16,19,185,3,5,4.98,11,3,2,50,0.441,0.2,0.176,0.25
8,11,20,91,4,5,0.01,22,7,5,28,0.776,0.097,0.057,0.121
8,12,20,206,3,5,0.04,2,5,5,12,0.441,0.2,0.176,0.25
5,7,19,171,1,5,1.21,10,3,0,45,0.412,0.364,0.075,0.198
7,5,15,156,1,5,1.45,21,10,0,20,0.412,0.364,0.075,0.198
8,10,16,173,1,5,0.03,22,8,1,27,0.412,0.364,0.075,0.198
4,16,19,175,1,5,5.04,15,5,4,50,0.412,0.364,0.075,0.198
8,1,20,187,3,5,0.09,22,6,0,30,0.441,0.2,0.176,0.25
5,7,19,229,3,5,6.155,8,8,5,45,0.441,0.2,0.176,0.25
8,10,16,230,3,5,0.08,14,12,5,3,0.441,0.2,0.176,0.25
8,1,20,110,0,5,0.24,0,7,3,30,0.299,0.356,0.03,0.484
7,2,15,110,0,5,3.76,14,5,0,15,0.299,0.356,0.03,0.484
7,15,15,172,1,5,2.46,23,10,4,2,0.412,0.364,0.075,0.198
8,11,20,163,1,5,0.02,21,9,6,27,0.412,0.364,0.075,0.198
8,11,20,125,0,5,0.01,4,10,5,28,0.299,0.356,0.03,0.484
